sku,image,small_image,thumbnail,_media_is_disabled,_media_attibute_id
A51207-5,/a/5/a51207-5_20.jpg,/a/5/a51207-5_20.jpg,/a/5/a51207-5_20.jpg,0,88
A51208-5,/a/5/a51208-5_20.jpg,/a/5/a51208-5_20.jpg,/a/5/a51208-5_20.jpg,0,88
A51209-5,/a/5/a51209-5_20.jpg,/a/5/a51209-5_20.jpg,/a/5/a51209-5_20.jpg,0,88
A51210-5,/a/5/a51210-5_20.jpg,/a/5/a51210-5_20.jpg,/a/5/a51210-5_20.jpg,0,88
A51211-5,/a/5/a51211-5_20.jpg,/a/5/a51211-5_20.jpg,/a/5/a51211-5_20.jpg,0,88
A51212-5,/a/5/a51212-5_20.jpg,/a/5/a51212-5_20.jpg,/a/5/a51212-5_20.jpg,0,88
A51213-5,/a/5/a51213-5_20.jpg,/a/5/a51213-5_20.jpg,/a/5/a51213-5_20.jpg,0,88
A51214-5,/a/5/a51214-5_20.jpg,/a/5/a51214-5_20.jpg,/a/5/a51214-5_20.jpg,0,88
A51215-5,/a/5/a51215-5_20.jpg,/a/5/a51215-5_20.jpg,/a/5/a51215-5_20.jpg,0,88
A51216-5,/a/5/a51216-5_20.jpg,/a/5/a51216-5_20.jpg,/a/5/a51216-5_20.jpg,0,88
A51217-5,/a/5/a51217-5_20.jpg,/a/5/a51217-5_20.jpg,/a/5/a51217-5_20.jpg,0,88
A51218-5,/a/5/a51218-5_20.jpg,/a/5/a51218-5_20.jpg,/a/5/a51218-5_20.jpg,0,88
A51219-5,/a/5/a51219-5_20.jpg,/a/5/a51219-5_20.jpg,/a/5/a51219-5_20.jpg,0,88
A51220-5,/a/5/a51220-5_20.jpg,/a/5/a51220-5_20.jpg,/a/5/a51220-5_20.jpg,0,88
A512201-5,/a/5/a512201-5_20.jpg,/a/5/a512201-5_20.jpg,/a/5/a512201-5_20.jpg,0,88
A512202-5,/a/5/a512202-5_20.jpg,/a/5/a512202-5_20.jpg,/a/5/a512202-5_20.jpg,0,88
A512203-5,/a/5/a512203-5_20.jpg,/a/5/a512203-5_20.jpg,/a/5/a512203-5_20.jpg,0,88
A512205-5,/a/5/a512205-5_20.jpg,/a/5/a512205-5_20.jpg,/a/5/a512205-5_20.jpg,0,88
